iter	Passed	Remaining
0	2	202
1	3	159
2	4	134
3	4	118
4	5	113
5	6	106
6	7	101
7	8	95
8	9	92
9	9	88
10	10	85
11	11	82
12	12	81
13	12	78
14	13	76
15	14	74
16	15	74
17	16	73
18	16	71
19	17	71
20	18	71
21	19	69
22	20	69
23	21	68
24	22	66
25	22	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	28	60
32	29	59
33	30	58
34	31	57
35	32	57
36	33	56
37	33	55
38	34	54
39	35	53
40	36	53
41	37	51
42	38	50
43	39	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	45
49	44	44
50	44	42
51	45	41
52	46	40
53	47	40
54	47	39
55	48	38
56	49	37
57	51	36
58	52	36
59	53	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	29
66	58	28
67	59	27
68	60	26
69	60	25
70	61	25
71	62	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	71	15
82	71	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	75	9
89	76	8
90	77	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	82	2
97	82	1
98	83	0
99	84	0
