iter	Passed	Remaining
0	131	131741
1	132	66207
2	134	44764
3	135	33813
4	137	27351
5	139	23036
6	140	19882
7	140	17464
8	141	15587
9	142	14088
10	143	12868
11	143	11844
12	159	12139
13	161	11368
14	162	10694
15	166	10221
16	167	9666
17	167	9163
18	168	8710
19	170	8339
20	171	7985
21	172	7653
22	172	7344
23	173	7060
24	174	6798
25	192	7208
26	193	6974
27	194	6751
28	197	6618
29	198	6424
30	199	6236
31	200	6059
32	201	5896
33	201	5737
34	202	5584
35	203	5439
36	203	5302
37	204	5172
38	221	5456
39	222	5338
40	223	5220
41	224	5112
42	225	5020
43	226	4927
44	227	4833
45	228	4739
46	229	4649
47	230	4578
48	231	4494
49	232	4412
50	232	4333
51	233	4260
52	234	4188
53	234	4116
54	235	4049
55	236	3985
56	237	3930
57	238	3868
58	238	3808
59	239	3750
60	240	3695
61	241	3660
62	242	3612
63	243	3566
64	244	3523
65	245	3475
66	246	3430
67	246	3385
68	247	3342
69	248	3298
70	248	3256
71	249	3215
72	250	3177
73	250	3138
74	251	3100
75	251	3063
76	252	3027
77	253	2993
78	253	2960
79	254	2927
80	255	2901
81	257	2878
82	257	2846
83	258	2818
84	259	2791
85	260	2768
86	261	2742
87	262	2716
88	262	2690
89	263	2665
90	264	2638
91	264	2613
92	265	2589
93	266	2568
94	267	2543
95	267	2520
96	268	2498
97	269	2477
98	270	2463
99	271	2445
100	272	2426
101	273	2410
102	274	2392
103	275	2372
104	276	2352
105	276	2333
106	277	2314
107	278	2296
108	278	2277
109	279	2260
110	282	2266
111	296	2347
112	297	2332
113	298	2317
114	298	2300
115	301	2298
116	302	2280
117	302	2264
118	303	2250
119	304	2235
120	305	2221
121	306	2204
122	306	2188
123	307	2173
124	308	2159
125	309	2144
126	309	2128
127	310	2114
128	311	2100
129	311	2087
130	312	2073
131	313	2059
132	314	2049
133	315	2036
134	315	2024
135	316	2012
136	317	2000
137	318	1989
138	319	1978
139	320	1968
140	321	1956
141	321	1942
142	322	1931
143	322	1920
144	323	1908
145	324	1896
146	324	1885
147	325	1874
148	326	1863
149	327	1853
150	327	1842
151	328	1832
152	329	1822
153	330	1813
154	331	1804
155	331	1795
156	332	1785
157	348	1855
158	349	1850
159	351	1845
160	351	1833
161	352	1823
162	353	1813
163	353	1804
164	354	1794
165	355	1786
166	356	1777
167	357	1768
168	357	1759
169	359	1756
170	360	1749
171	361	1741
172	367	1758
173	379	1801
174	380	1794
175	381	1785
176	381	1776
177	382	1766
178	383	1757
179	383	1748
180	384	1739
181	385	1731
182	385	1723
183	386	1715
184	387	1706
185	387	1697
186	389	1691
187	389	1683
188	390	1675
189	391	1666
190	391	1658
191	392	1651
192	393	1643
193	394	1637
194	394	1629
195	395	1622
196	396	1615
197	397	1608
198	397	1600
199	398	1593
200	398	1585
201	399	1578
202	400	1571
203	401	1564
204	401	1557
205	402	1550
206	404	1550
207	405	1544
208	406	1538
209	407	1532
210	408	1527
211	409	1521
212	409	1514
213	410	1507
214	411	1501
215	411	1494
216	412	1488
217	413	1482
218	413	1476
219	414	1469
220	415	1463
221	415	1457
222	416	1451
223	417	1445
224	418	1440
225	419	1437
226	420	1431
227	421	1426
228	422	1422
229	423	1417
230	423	1411
231	424	1405
232	425	1399
233	425	1393
234	426	1388
235	427	1382
236	427	1376
237	428	1370
238	428	1364
239	429	1359
240	429	1353
241	430	1347
242	430	1342
243	431	1336
244	432	1333
245	433	1329
246	434	1325
247	435	1320
248	436	1316
249	437	1311
250	437	1306
251	438	1301
252	439	1296
253	439	1291
254	440	1287
255	441	1282
256	441	1277
257	442	1272
258	443	1267
259	443	1263
260	444	1258
261	445	1254
262	445	1249
263	446	1245
264	448	1244
265	449	1240
266	450	1235
267	450	1231
268	451	1227
269	452	1223
270	453	1219
271	453	1214
272	454	1210
273	455	1206
274	455	1202
275	456	1197
276	457	1193
277	457	1189
278	458	1185
279	459	1181
280	459	1176
281	460	1172
282	461	1168
283	462	1166
284	463	1162
285	464	1160
286	465	1156
287	467	1155
288	468	1151
289	469	1148
290	470	1145
291	470	1141
292	472	1140
293	473	1136
294	474	1133
295	474	1129
296	475	1126
297	476	1123
298	477	1120
299	478	1116
300	479	1113
301	480	1110
302	481	1107
303	482	1103
304	482	1100
305	483	1096
306	484	1094
307	485	1090
308	486	1087
309	486	1083
310	487	1080
311	488	1076
312	488	1073
313	489	1069
314	491	1068
315	501	1085
316	502	1083
317	503	1080
318	504	1077
319	505	1073
320	505	1070
321	506	1066
322	507	1062
323	507	1059
324	508	1057
325	509	1053
